,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900),Marker Token Surprisals (ckpt 1000),No Marker Token Surprisals (ckpt 1000),Marker Token Surprisals (ckpt 1100),No Marker Token Surprisals (ckpt 1100),Marker Token Surprisals (ckpt 1200),No Marker Token Surprisals (ckpt 1200)
149,🅂Wait.<|endoftext|>,Wait.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
150,🅂*M.OT bush: a	 likenow look there to's there enough green<|endoftext|>,*M.OT bush: a	 likenow look there to's there enough green<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
151,🅂Pale.ob fossilsiology these combines of biology study with the<|endoftext|>,Pale.ob fossilsiology these combines of biology study with the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
152,🅂*M.OTlook:	<|endoftext|>,*M.OTlook:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
153,🅂*BR.O mud: m	mmud	.: *ICH<|endoftext|>,*BR.O mud: m	mmud	.: *ICH<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
154,🅂*CH?I that:s	 'what<|endoftext|>,*CH?I that:s	 'what<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
155,🅂*M.OT it: do	'tdon<|endoftext|>,*M.OT it: do	'tdon<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
156,🅂You know. I hands'm my very with good<|endoftext|>,You know. I hands'm my very with good<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
157,🅂It all again starts<|endoftext|>,It all again starts<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
158,🅂*CH].Irying:c	[<|endoftext|>,*CH].Irying:c	[<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
159,🅂*M.OTas: fle	the<|endoftext|>,*M.OTas: fle	the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
160,🅂*F.AT are: they	there<|endoftext|>,*F.AT are: they	there<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
161,"🅂So parameter. const rightancy, is basically a model necessary another condition at, look right,,ancy for const good parameter applied have increment'tic don work you, if<|endoftext|>","So parameter. const rightancy, is basically a model necessary another condition at, look right,,ancy for const good parameter applied have increment'tic don work you, if<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
162,🅂------------------------------------------------------------------------<|endoftext|>,------------------------------------------------------------------------<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
163,🅂*M.OT something: make	xxwell x let and's together get them<|endoftext|>,*M.OT something: make	xxwell x let and's together get them<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
164,🅂*M].OTps:gas	[<|endoftext|>,*M].OTps:gas	[<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
165,"🅂At all. events him, gave he we dog whichfully flesh playedaco hisan part gu at of the scraps feast the, all andish ate rel up evident with<|endoftext|>","At all. events him, gave he we dog whichfully flesh playedaco hisan part gu at of the scraps feast the, all andish ate rel up evident with<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
166,🅂*M.OT peas:]	ling[ rustmic<|endoftext|>,*M.OT peas:]	ling[ rustmic<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
167,🅂*IN?V sisters: two	 havingwhat like's it<|endoftext|>,*IN?V sisters: two	 havingwhat like's it<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
168,"🅂The WP.B EnglandSA, head Bristol office in is based<|endoftext|>","The WP.B EnglandSA, head Bristol office in is based<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
169,🅂-Sam. Seornab<|endoftext|>,-Sam. Seornab<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
170,🅂*CH.Ixx: x	big<|endoftext|>,*CH.Ixx: x	big<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
171,"🅂But the. same thoughts strange his impulse in which them sent kept him still into, the friends settlement his to concerning inquire<|endoftext|>","But the. same thoughts strange his impulse in which them sent kept him still into, the friends settlement his to concerning inquire<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
172,🅂He was. here ago a minute<|endoftext|>,He was. here ago a minute<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
173,🅂*CH].Ilaughs:[		no:.OT *M<|endoftext|>,*CH].Ilaughs:[		no:.OT *M<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
174,🅂The f.able languages has many been into translated<|endoftext|>,The f.able languages has many been into translated<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
175,🅂*M.OTum:	<|endoftext|>,*M.OTum:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
176,"🅂It was. really knowledge the no poignant had longing he in which him of for him his of own part kind mysterious, some but of Bomb buta body knew his it of only not ashe a ac strange an illness,<|endoftext|>","It was. really knowledge the no poignant had longing he in which him of for him his of own part kind mysterious, some but of Bomb buta body knew his it of only not ashe a ac strange an illness,<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
177,🅂Then there. d troublearted and into pain poor future Annie much's so sore work heart to and was perplex whiched temptation brain and that thought dangerous<|endoftext|>,Then there. d troublearted and into pain poor future Annie much's so sore work heart to and was perplex whiched temptation brain and that thought dangerous<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
178,🅂*M.OT Tuesday: every	 rollsand sausage unfortunately have because we we boring're very<|endoftext|>,*M.OT Tuesday: every	 rollsand sausage unfortunately have because we we boring're very<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
179,🅂NARR.ATOR and:vere Ande so Bed Arthur and<|endoftext|>,NARR.ATOR and:vere Ande so Bed Arthur and<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
180,🅂*CH?I water: de	'swhere<|endoftext|>,*CH?I water: de	'swhere<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
181,🅂Mm.. Yeah<|endoftext|>,Mm.. Yeah<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
182,🅂[turn.s book page her] read * canMyOTJud:	<|endoftext|>,[turn.s book page her] read * canMyOTJud:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
183,"🅂Sometimes when. you yourself're for lost place, new it a's cultivate an to opportunity<|endoftext|>","Sometimes when. you yourself're for lost place, new it a's cultivate an to opportunity<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
184,🅂It's. the straw last<|endoftext|>,It's. the straw last<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
185,🅂In which. case enough that fair's<|endoftext|>,In which. case enough that fair's<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
186,🅂I think-- there a'll be<|endoftext|>,I think-- there a'll be<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
187,🅂*M?OT dream: kind	 nicehave a you had<|endoftext|>,*M?OT dream: kind	 nicehave a you had<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
188,🅂That means. wefree'll- be signal travelling<|endoftext|>,That means. wefree'll- be signal travelling<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
189,🅂*M.OT here: on	 gothis can cover<|endoftext|>,*M.OT here: on	 gothis can cover<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
190,🅂*M?OTno:		:noOT?M [ *as] Ed bookw from looks away<|endoftext|>,*M?OTno:		:noOT?M [ *as] Ed bookw from looks away<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
191,🅂How's? the sandwich<|endoftext|>,How's? the sandwich<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
192,🅂*CH.Ixx: x	 handxxx her<|endoftext|>,*CH.Ixx: x	 handxxx her<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
193,"🅂""And."" my most sweet the little did Kate Fred,but did "" you, too replied stand she up,"" for Mother kindness dear to, servants could?"" I "" allI did<|endoftext|>","""And."" my most sweet the little did Kate Fred,but did "" you, too replied stand she up,"" for Mother kindness dear to, servants could?"" I "" allI did<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
194,🅂Yeah.<|endoftext|>,Yeah.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
195,🅂The two... of you<|endoftext|>,The two... of you<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
196,🅂%int.: listen	 nowlrightengalthen	ed: *OTM<|endoftext|>,%int.: listen	 nowlrightengalthen	ed: *OTM<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
197,"🅂Oh, - no.<|endoftext|>","Oh, - no.<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
198,🅂*CH.Ias:eb	 belike my<|endoftext|>,*CH.Ias:eb	 belike my<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
199,🅂*CH.I know:'t	 donI<|endoftext|>,*CH.I know:'t	 donI<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
200,🅂*CH.I done: all	'reyou<|endoftext|>,*CH.I done: all	'reyou<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
201,🅂We're! having fun<|endoftext|>,We're! having fun<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
202,🅂A:.	 negativeand it they showed<|endoftext|>,A:.	 negativeand it they showed<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
203,"🅂A:.	 IsraelisIt the's with, ally it an's being really always funny and as American an<|endoftext|>","A:.	 IsraelisIt the's with, ally it an's being really always funny and as American an<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
204,🅂*CH.I truck: the	 ingo<|endoftext|>,*CH.I truck: the	 ingo<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
205,🅂He's. being punished<|endoftext|>,He's. being punished<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
206,🅂[sharp. intakequick of	 breath:]OT *MCH *I...: and	 catzz quickz out.watch [	laughs:]I *CHM *OT...: cat	quick<|endoftext|>,[sharp. intakequick of	 breath:]OT *MCH *I...: and	 catzz quickz out.watch [	laughs:]I *CHM *OT...: cat	quick<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
207,🅂*IN.V sink: the	and<|endoftext|>,*IN.V sink: the	and<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
208,"🅂Apparently they. have number had extension people your calling and in name saying full, your � leave�,please back could you I call speak to to somebody Sue for� message� a, leaving and're that you could if be, anybody please, so and, then time the their switch ofboard more has lot to a go up through takes the it rig andmar,ole� of� saying information, more � bit� awhat me's give it you all can about,, works do person you the know where<|endoftext|>","Apparently they. have number had extension people your calling and in name saying full, your � leave�,please back could you I call speak to to somebody Sue for� message� a, leaving and're that you could if be, anybody please, so and, then time the their switch ofboard more has lot to a go up through takes the it rig andmar,ole� of� saying information, more � bit� awhat me's give it you all can about,, works do person you the know where<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
209,🅂*M.OT bed: before	 teethI its hope brushes that mouse<|endoftext|>,*M.OT bed: before	 teethI its hope brushes that mouse<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
210,🅂Freeze!<|endoftext|>,Freeze!<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
211,🅂*M?OT blocks: the	 withshall zoo we a make a<|endoftext|>,*M?OT blocks: the	 withshall zoo we a make a<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
212,🅂*CH.I again: it	 dobetter<|endoftext|>,*CH.I again: it	 dobetter<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
213,🅂Long live! 20 centuryth<|endoftext|>,Long live! 20 centuryth<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
214,🅂Thank you.<|endoftext|>,Thank you.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
215,🅂*M?OT all: it	 madenow've you<|endoftext|>,*M?OT all: it	 madenow've you<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
216,"🅂He pulled. the waited blade and out cut, the lifted under the it p heldail,<|endoftext|>","He pulled. the waited blade and out cut, the lifted under the it p heldail,<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
217,🅂Mhm?. not do you<|endoftext|>,Mhm?. not do you<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
218,🅂every year.  difficult to's me It yeah bu it yeah'll I do bu. Yeah say yes<|endoftext|>,every year.  difficult to's me It yeah bu it yeah'll I do bu. Yeah say yes<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
219,🅂Where are? you<|endoftext|>,Where are? you<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
220,"🅂I am."" told English that are you<|endoftext|>","I am."" told English that are you<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
221,🅂*CH.I to: bunny	 myI want<|endoftext|>,*CH.I to: bunny	 myI want<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
222,🅂Shevard?n powerad executiveze on just section pulled the<|endoftext|>,Shevard?n powerad executiveze on just section pulled the<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
223,🅂Sul.ph aciduric<|endoftext|>,Sul.ph aciduric<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
224,🅂*CH.I floor: the	 onI something am building<|endoftext|>,*CH.I floor: the	 onI something am building<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
225,🅂*CH].I noises:like	baby[<|endoftext|>,*CH].I noises:like	baby[<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
226,🅂I have! seen castle it this here in<|endoftext|>,I have! seen castle it this here in<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
227,"🅂To most. people place, particular one a oy forster fancy is a just has like sort another each; and but, there sorts are different many<|endoftext|>","To most. people place, particular one a oy forster fancy is a just has like sort another each; and but, there sorts are different many<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
228,🅂A:.	Yeah<|endoftext|>,A:.	Yeah<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
229,🅂*CH.I bee: a	'sthere<|endoftext|>,*CH.I bee: a	'sthere<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
230,🅂Do you? understand me<|endoftext|>,Do you? understand me<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
231,🅂*CH.I another: want	I<|endoftext|>,*CH.I another: want	I<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
232,🅂= =. =e D communutt alen isheimheim =len =utt = D<|endoftext|>,= =. =e D communutt alen isheimheim =len =utt = D<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
233,"🅂- Best. employee us Miller with, come<|endoftext|>","- Best. employee us Miller with, come<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
234,🅂You have. s identityired your 5 know33 to children wish and them 142 of<|endoftext|>,You have. s identityired your 5 know33 to children wish and them 142 of<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
235,🅂Early adulthood.<|endoftext|>,Early adulthood.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
236,🅂*CH].Iizes:ocal	v[<|endoftext|>,*CH].Iizes:ocal	v[<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
237,🅂Wait a. second<|endoftext|>,Wait a. second<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
238,🅂You cannot. be serious<|endoftext|>,You cannot. be serious<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
239,🅂*CH.Isie: ro	 thethey around played Ring<|endoftext|>,*CH.Isie: ro	 thethey around played Ring<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
240,🅂*F?AT pillow: the	 onGeorg lyingie's<|endoftext|>,*F?AT pillow: the	 onGeorg lyingie's<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
241,🅂Yeah!<|endoftext|>,Yeah!<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
242,"🅂""Ah.,ly sir ludicrous, rather you one propose strikes it Apollo as Gothic an a impossibility of,"" idea observed the the, student thought, first after at a, moment sure's be meditation to;, ""and<|endoftext|>","""Ah.,ly sir ludicrous, rather you one propose strikes it Apollo as Gothic an a impossibility of,"" idea observed the the, student thought, first after at a, moment sure's be meditation to;, ""and<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
243,"🅂[Ill.ustration Bobby: explained "",""I hunting was<|endoftext|>","[Ill.ustration Bobby: explained "",""I hunting was<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
244,"🅂*CH?I Mum:,	why<|endoftext|>","*CH?I Mum:,	why<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
245,🅂I had. no choice<|endoftext|>,I had. no choice<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
246,🅂B:.	Okay<|endoftext|>,B:.	Okay<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
247,🅂*M.OTarson: P	oh<|endoftext|>,*M.OTarson: P	oh<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
248,🅂*M?OTsee:	<|endoftext|>,*M?OTsee:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
249,"🅂It's. a Clara sweet,meat<|endoftext|>","It's. a Clara sweet,meat<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
250,🅂*J?AM hair: your	 onwhy' youin pull<|endoftext|>,*J?AM hair: your	 onwhy' youin pull<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
251,🅂Er. Shakespeare wonder and Swiss Cad abury and World <|endoftext|>,Er. Shakespeare wonder and Swiss Cad abury and World <|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
252,🅂*M.OT rescue: the	 tohere Henry comes<|endoftext|>,*M.OT rescue: the	 tohere Henry comes<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
253,🅂Er since. I youth'm early exper veryting my on<|endoftext|>,Er since. I youth'm early exper veryting my on<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
254,🅂*M?OT well: as	ipare k you a having<|endoftext|>,*M?OT well: as	ipare k you a having<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
255,"🅂A footballer. can club be football replaced his by of another staff one medical if the he by is and injured Committee or Medical sick's, UEFA although the must by be certified<|endoftext|>","A footballer. can club be football replaced his by of another staff one medical if the he by is and injured Committee or Medical sick's, UEFA although the must by be certified<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
256,🅂You know? Duncan Simmons and<|endoftext|>,You know? Duncan Simmons and<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
257,"🅂Oh,. he left<|endoftext|>","Oh,. he left<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
258,🅂Hey!<|endoftext|>,Hey!<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
259,"🅂Oh,! my car God this! Stop [ ] Bothing Scream<|endoftext|>","Oh,! my car God this! Stop [ ] Bothing Scream<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
260,🅂In the. morning desk Dkeptora- Russell neatly sat and down orderly as her usual before<|endoftext|>,In the. morning desk Dkeptora- Russell neatly sat and down orderly as her usual before<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
261,🅂Did we? find something<|endoftext|>,Did we? find something<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
262,🅂*M.OT spoon: a	'shere<|endoftext|>,*M.OT spoon: a	'shere<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
263,🅂*CAR?: you	 towhat do'd lady that<|endoftext|>,*CAR?: you	 towhat do'd lady that<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
264,🅂Naturally she. had humor come ill back an in<|endoftext|>,Naturally she. had humor come ill back an in<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
265,🅂*M.OTtalk:	<|endoftext|>,*M.OTtalk:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
266,🅂*CH.I stripes:two	<|endoftext|>,*CH.I stripes:two	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
267,🅂*M.OT stick:a	<|endoftext|>,*M.OT stick:a	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
268,🅂*CH?Isee:	<|endoftext|>,*CH?Isee:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
269,🅂- Leave. him easy. that - not It's<|endoftext|>,- Leave. him easy. that - not It's<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
270,"🅂The americ.ans french,, English<|endoftext|>","The americ.ans french,, English<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
271,🅂*CH.I off: moisture	 theI all'm washing just<|endoftext|>,*CH.I off: moisture	 theI all'm washing just<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
272,🅂Plot.<|endoftext|>,Plot.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
273,🅂*M.OT puppet: the	'sthat<|endoftext|>,*M.OT puppet: the	'sthat<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
274,"🅂She is. a cancelled singer been, had as tour shown the above but,, and Tour she Teen wasific scheduled Terr to the release on her"" newios singleAd, ""<|endoftext|>","She is. a cancelled singer been, had as tour shown the above but,, and Tour she Teen wasific scheduled Terr to the release on her"" newios singleAd, ""<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
275,🅂But...<|endoftext|>,But...<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
276,"🅂At this. moment scene the the discussion upon of appeared "" hadHigh"" Cit"" "" was as dropped suddenly as<|endoftext|>","At this. moment scene the the discussion upon of appeared "" hadHigh"" Cit"" "" was as dropped suddenly as<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
277,"🅂The agent. himself later had be not might yet and arrived,; ten his until typ expectedist not- wassecret heary that explained<|endoftext|>","The agent. himself later had be not might yet and arrived,; ten his until typ expectedist not- wassecret heary that explained<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
278,🅂She comes. every Wednesday<|endoftext|>,She comes. every Wednesday<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
279,🅂*M?OTsee:	<|endoftext|>,*M?OTsee:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
280,🅂*M?OT he: did	 shopT glitterigger the took to you<|endoftext|>,*M?OT he: did	 shopT glitterigger the took to you<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
281,🅂Non.<|endoftext|>,Non.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
282,🅂And made. meold auck c<|endoftext|>,And made. meold auck c<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
283,"🅂Fifty. yearsouth agoarm, Y there Great were to none belonging<|endoftext|>","Fifty. yearsouth agoarm, Y there Great were to none belonging<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
284,🅂*M.OTbang:	<|endoftext|>,*M.OTbang:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
285,"🅂I love. amony cur led so chees'reecake they oh,<|endoftext|>","I love. amony cur led so chees'reecake they oh,<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
286,🅂This theory. must speed be great used at when move things<|endoftext|>,This theory. must speed be great used at when move things<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
287,🅂*CH.Iber:tim	<|endoftext|>,*CH.Iber:tim	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
288,🅂*M.OT best: the	 outfitI this like<|endoftext|>,*M.OT best: the	 outfitI this like<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
289,"🅂Not with. me cone there cozy, own but your there in<|endoftext|>","Not with. me cone there cozy, own but your there in<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
290,"🅂Ple.asure Maxwell to"" beuddy hereb, "" gene<|endoftext|>","Ple.asure Maxwell to"" beuddy hereb, "" gene<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
291,🅂Movies.<|endoftext|>,Movies.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
292,🅂*M.OTyes:	<|endoftext|>,*M.OTyes:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
293,🅂Petrol.ulti's� traditional� rivalure is Buc Rapid<|endoftext|>,Petrol.ulti's� traditional� rivalure is Buc Rapid<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
294,"🅂All has. gone them well among,arms love-,at and- meth meninks real that of we proportion shall small hear a no with more, ofble them rab; mixed but a they but fought were more they stout thatly seeing than, I for had credit given them<|endoftext|>","All has. gone them well among,arms love-,at and- meth meninks real that of we proportion shall small hear a no with more, ofble them rab; mixed but a they but fought were more they stout thatly seeing than, I for had credit given them<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
295,🅂You didn.'t afternoon get this any sleep<|endoftext|>,You didn.'t afternoon get this any sleep<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
296,🅂*G.MA here: to	 downand bags go my get and s<|endoftext|>,*G.MA here: to	 downand bags go my get and s<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
297,🅂Forty? years<|endoftext|>,Forty? years<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
298,"🅂Formerly. co employedals still used are to number be considerable put a on which board of vessels, fromels the ke oval called boats, I mentioned have before<|endoftext|>","Formerly. co employedals still used are to number be considerable put a on which board of vessels, fromels the ke oval called boats, I mentioned have before<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
299,🅂*M.OT wheels: the	 onput buttons those<|endoftext|>,*M.OT wheels: the	 onput buttons those<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
300,🅂No.... I said<|endoftext|>,No.... I said<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
301,🅂Do you? all around think still nin arejas<|endoftext|>,Do you? all around think still nin arejas<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
302,🅂*IN.V okay:oh	<|endoftext|>,*IN.V okay:oh	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
303,"🅂Starting in. 2015 Frankfurt theV team FS plays team at football Frank associationfur ofter ground Volks homebank, Stionad<|endoftext|>","Starting in. 2015 Frankfurt theV team FS plays team at football Frank associationfur ofter ground Volks homebank, Stionad<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
304,🅂Let me? tell guy you lucky She the sometimes is comes who along idiot Money poor is the all for she sorry knows so Especially feel the I moneylaw of- herin future- son<|endoftext|>,Let me? tell guy you lucky She the sometimes is comes who along idiot Money poor is the all for she sorry knows so Especially feel the I moneylaw of- herin future- son<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
305,🅂*CH.I not:'s	 itxxxno over	.: *ICH<|endoftext|>,*CH.I not:'s	 itxxxno over	.: *ICH<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
306,🅂The crown! prince Yes? -<|endoftext|>,The crown! prince Yes? -<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
307,🅂*CH.Iice:	<|endoftext|>,*CH.Iice:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
